LR_EXTRA_2P	001	MOSS	WELCOME!!
LR_EXTRA_2P	002	MOSS	AROUND JAPAN
LR_EXTRA_2P	003	MOSS	CHARITY
LR_EXTRA_2P	004	FUNG	BOMB AND COINS
LR_EXTRA_2P	005	FUNG	SHOTERS
LR_EXTRA_2P	006	ANCI	MIRROR
LR_EXTRA_2P	007	ANCI	ESCAPE&TRAPS
LR_EXTRA_2P	008	CRYS	SYMMETRY-2
LR_EXTRA_2P	009	CRYS	KEEP A LIFE
LR_EXTRA_2P	010	ICEW	SEPARATE WAYS
LR_EXTRA_2P	011	ICEW	MAZE
LR_EXTRA_2P	012	FOSS	BUILDUP CONNECTION
LR_EXTRA_2P	013	LAVA	COOPERATION
LR_EXTRA_2P	014	DARK	MOSAIC
LR_EXTRA_2P	015	DARK	CASTLE
LR_EXTRA_2P	016	DARK	SYMMETRY
LR_EXTRA_2P	017	DARK	THREE SAUCERS
LR_EXTRA_2P	018	DARK	INSIDE & OUTSIDE
LR_EXTRA_2P	019	DARK	STAIRS
LR_EXTRA_2P	020	INDU	GODAI
